Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1689,2013-01-28,John Cena vs Cody Rhodes,John Cena,Cody Rhodes,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1688,2013-01-27,John Cena vs Antonio Cesaro and Bo Dallas and Brodus Clay and Chris Jericho and Cody Rhodes and Damien Sandow and Daniel Bryan and Darren Young and David Otunga and Dolph Ziggler and Drew McIntyre and Goldust and Heath Slater and Jinder Mahal and Kane and Kofi Kingston and Randy Orton and Rey Mysterio and Ryback and Santino Marella and Sheamus and Sin Cara and Tensai and The Godfather and The Great Khali and The Miz and Titus O'Neil and Wade Barrett and Zack Ryder,John Cena,Antonio Cesaro and Bo Dallas and Brodus Clay and Chris Jericho and Cody Rhodes and Damien Sandow and Daniel Bryan and Darren Young and David Otunga and Dolph Ziggler and Drew McIntyre and Goldust and Heath Slater and Jinder Mahal and Kane and Kofi Kingston and Randy Orton and Rey Mysterio and Ryback and Santino Marella and Sheamus and Sin Cara and Tensai and The Godfather and The Great Khali and The Miz and Titus O'Neil and Wade Barrett and Zack Ryder,Win,Contendership,WWE,Royal Rumble,Royal Rumble,WWE Royal Rumble 2013,WWE Royal Rumble ,PPV/PLE
1687,2013-01-21,John Cena & Sheamus vs The Big Show & Wade Barrett,John Cena & Sheamus,The Big Show & Wade Barrett,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1686,2013-01-20,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1685,2013-01-19,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1684,2013-01-18,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1683,2013-01-14,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1682,2013-01-13,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1681,2013-01-12,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1680,2013-01-11,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1679,2013-01-07,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1678,2013-01-06,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1677,2013-01-05,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1676,2013-01-04,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1675,2012-12-30,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
